  PID  PPID COMMAND
    1     0 /sbin/launchd
   53     1 /usr/sbin/syslogd
   54     1 /usr/libexec/UserEventAgent (System)
   57     1 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   58     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   59     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
   62     1 /usr/sbin/systemstats --daemon
   64     1 /usr/libexec/configd
   65     1 endpointsecurityd
   66     1 /System/Library/CoreServices/powerd.bundle/powerd
   69     1 /usr/libexec/remoted
   71     1 /usr/libexec/logd
   72     1 /usr/libexec/keybagd -t 15
   77     1 /usr/libexec/watchdogd
   81     1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   82     1 /System/Library/CoreServices/iconservicesd
   83     1 /usr/libexec/kernelmanagerd
   84     1 /usr/libexec/diskarbitrationd
   87     1 /usr/libexec/coreduetd
   91     1 /usr/libexec/thermalmonitord
   92     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
   93     1 /usr/libexec/opendirectoryd
   94     1 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   95     1 /System/Library/CoreServices/launchservicesd
   96     1 /usr/libexec/timed
   97     1 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   98     1 /usr/sbin/securityd -i
   99     1 auditd -l
  101     1 /usr/libexec/locationd
  103     1 autofsd
  104     1 /usr/libexec/displaypolicyd -k 1
  106     1 /usr/libexec/dasd
  108     1 /usr/sbin/distnoted daemon
  109     1 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  112     1 /System/Library/CoreServices/logind
  113     1 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  114     1 /usr/sbin/KernelEventAgent
  116     1 /usr/sbin/bluetoothd
  117     1 /usr/sbin/notifyd
  119     1 /usr/libexec/corebrightnessd --launchd
  120     1 /usr/libexec/AirPlayXPCHelper
  123     1 /usr/libexec/syspolicyd
  124     1 /usr/sbin/cfprefsd daemon
  125     1 /System/Library/CoreServices/coreservicesd
  126     1 /usr/libexec/amfid
  127     1 aslmanager
  128     1 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  129     1 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  130     1 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  131     1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  151     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  153     1 /usr/libexec/runningboardd
  154     1 /usr/sbin/distnoted agent
  155     1 /usr/libexec/trustd
  182     1 /usr/libexec/mobileassetd
  190     1 /usr/libexec/multiversed
  191     1 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  192     1 /usr/libexec/apfsd
  193     1 /usr/libexec/airportd
  194     1 /usr/libexec/usbd
  195     1 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  196     1 /usr/libexec/nehelper
  197     1 /usr/libexec/nsurlsessiond --privileged
  198     1 /usr/sbin/mDNSResponder
  199     1 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  201     1 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  202     1 /usr/sbin/coreaudiod
  204     1 /usr/sbin/distnoted agent
  207     1 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  212     1 /usr/libexec/diskmanagementd
  215     1 /usr/libexec/searchpartyd
  217     1 /usr/libexec/lsd runAsRoot
  230     1 /usr/libexec/tzd
  231     1 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  232     1 /usr/sbin/distnoted agent
  235     1 /usr/libexec/secinitd
  236     1 /usr/sbin/cfprefsd agent
  237     1 /usr/libexec/trustd --agent
  238     1 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  239     1 /usr/libexec/symptomsd
  240     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  243     1 /usr/libexec/PowerUIAgent
  244     1 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
  247     1 /usr/sbin/mDNSResponderHelper
  248     1 /usr/libexec/findmydeviced
  252     1 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
  255     1 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  256     1 /System/Library/PrivateFrameworks/BridgeOSSoftwareUpdate.framework/Support/bosUpdateProxy
  257     1 /System/Library/CoreServices/SubmitDiagInfo server-init
  258     1 /usr/libexec/mobileactivationd
  264     1 /usr/sbin/distnoted agent
  265     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  270     1 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  271     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  273     1 /usr/sbin/distnoted agent
  274     1 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  279     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  280     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  281     1 /System/Library/CoreServices/ReportCrash daemon
